Incident_ID,Image_ID,Scene_Type,Objects_Detected,Text_Extracted,Confidence_Score
IMG-067,light-572-_preprocessed_jpg.rf.451cdc6d5e2641c386e854f66e9c97ec,Fire,light,none,0.75
IMG-068,light-577-_preprocessed_jpg.rf.b822dc79f65065c54bf2a03972f0c042,Fire,light,none,0.79
IMG-069,light-606-_preprocessed_jpg.rf.5f95f82ddd4e2c1a535989000e5b0fec,Fire,light,none,0.82
IMG-070,light-608-_preprocessed_jpg.rf.4d151fddd8e7204d55fd94c84a2d6325,Fire,light,none,0.85
IMG-071,light-609-_preprocessed_jpg.rf.ef1c006c5cdfaa3fd2ec20801c513c64,Fire,light,none,0.73
IMG-072,no-fire_preprocessed-134-_jpg.rf.6361b53ed8c9f7ca3857b458f2413bec,No Fire Detected,no-fire,none,0.78
IMG-073,no-fire_preprocessed-139-_jpg.rf.ebe3e0e7dd6d77ddff9eceb755ece077,No Fire Detected,no-fire,none,0.6
IMG-074,no-fire_preprocessed-176-_jpg.rf.3ef836b4563ae7c908b22f78bfb5171b,No Fire Detected,no-fire,none,0.88
IMG-075,no-fire_preprocessed-200-_jpg.rf.5feeb24f9878cd7f3331ca0a0f1f3b21,No Fire Detected,no-fire,none,0.86
IMG-076,no-fire_preprocessed-202-_jpg.rf.c9e428cff9c717a5e3247b5d7227f4fe,No Fire Detected,no-fire,none,0.85
IMG-077,no-fire_preprocessed-235-_jpg.rf.645d7d0f0e1de2fddd512839b3a5f84c,No Fire Detected,no-fire,none,0.69
IMG-078,no-fire_preprocessed-237-_jpg.rf.3bc5cb77c5ad2f8425802e34dda8dbe6,No Fire Detected,no-fire,none,0.44
IMG-079,no-fire_preprocessed-238-_jpg.rf.35d300ffbc6b86b12a06971e47e11d3b,No Fire Detected,no-fire,"1 OR ah CO ont, s reg: F: ee ee Lie",0.86
IMG-080,no-fire_preprocessed-243-_jpg.rf.b6d65eefc8ae0822c5050d1a46634c44,Unknown,none,none,0.0
IMG-081,no-fire_preprocessed-248-_jpg.rf.11252b286fae40b74a5ab38d4bc95f44,No Fire Detected,no-fire,none,0.9
IMG-082,no-fire_preprocessed-255-_jpg.rf.652722cc41ad8ae3ab459f9810fe1488,Unknown,none,none,0.0
IMG-083,no-fire_preprocessed-256-_jpg.rf.d81aa3a60ef430398217a913f3152c35,No Fire Detected,no-fire,none,0.9
IMG-084,no-fire_preprocessed-262-_jpg.rf.b9e03d3ae05d344e719a6b7184cb4fce,No Fire Detected,no-fire,none,0.9
IMG-085,no-fire_preprocessed-268-_jpg.rf.9fd9b685c210461b4965d81f39180851,No Fire Detected,no-fire,none,0.93
IMG-086,no-fire_preprocessed-271-_jpg.rf.4a3e1759c776290b7af91d007eed4c40,Unknown,none,none,0.0
IMG-087,no-fire_preprocessed-280-_jpg.rf.036366ad740e65d7430dc213c3d71340,No Fire Detected,no-fire,Pinel,0.92
IMG-088,no-fire_preprocessed-290-_jpg.rf.555351a6dd9c2b3ccb3c27e552e71ad6,No Fire Detected,no-fire,none,0.89
IMG-089,no-fire_preprocessed-293-_jpg.rf.381c3b6f4f01afe4e25a1f5edc3709e3,No Fire Detected,no-fire,none,0.43
IMG-090,no-fire_preprocessed-294-_jpg.rf.3b171155ad2485b0c962de9c00c47b0e,No Fire Detected,no-fire,none,0.89
IMG-091,no-fire_preprocessed-298-_jpg.rf.d18bc0d9c01a7c719bbb32df53cedb61,Unknown,none,none,0.0
IMG-092,no-fire_preprocessed-299-_jpg.rf.1f7ab0d5d43dd20359a300f962f12ba8,Unknown,none,none,0.0
IMG-093,no-fire_preprocessed-306-_jpg.rf.6f6b2f41c4d4f88f2b015b601b90baf6,No Fire Detected,no-fire,none,0.91
IMG-094,no-fire_preprocessed-336-_jpg.rf.ed5dc4cb079d072d7e2a72675031e1b2,Unknown,none,none,0.0
IMG-095,no-fire_preprocessed-343-_jpg.rf.f21e9fded4e10c6fe90e2f700f336c5d,No Fire Detected,no-fire,none,0.5
IMG-096,no-fire_preprocessed-344-_jpg.rf.787b4e3776d4d0f351508467c70101d1,No Fire Detected,no-fire,none,0.5
IMG-097,no-fire_preprocessed-347-_jpg.rf.d27986bf9ba41e0faa3b1de316e13bc1,Unknown,none,none,0.0
IMG-098,no-fire_preprocessed-348-_jpg.rf.cd0d12ab409f4d74d1f555ea6879d3c7,Unknown,none,none,0.0
IMG-099,no-fire_preprocessed-359-_jpg.rf.e31ba2667a817cfe297c7cdd0a951918,No Fire Detected,no-fire,none,0.62
IMG-100,no-fire_preprocessed-362-_jpg.rf.aa738471a3801ecf344153d5394b58ed,No Fire Detected,no-fire,none,0.45
IMG-101,no-fire_preprocessed-367-_jpg.rf.6ab6edadfcc7dac167b3c486fa7725ee,Unknown,none,none,0.0
IMG-102,no-fire_preprocessed-392-_jpg.rf.b6d0f53c1656200b944a3baf8dae978e,No Fire Detected,no-fire,none,0.62
IMG-103,no-fire_preprocessed-393-_jpg.rf.0df0f08f9216d034f8d756607fb57b0a,No Fire Detected,no-fire,|,0.75
IMG-104,no-fire_preprocessed-394-_jpg.rf.06f94a9b8ef554b9c2098e2b77612a24,Unknown,none,none,0.0
IMG-105,no-fire_preprocessed-399-_jpg.rf.00e29cc4fd1865e71d94b4965ecab00d,Unknown,none,none,0.0
IMG-106,no-fire_preprocessed-42-_jpg.rf.327c5aa5e007d86f4f7c1fd93ef3af2d,No Fire Detected,no-fire,none,0.84
IMG-107,no-fire_preprocessed-46-_jpg.rf.07d6f326bbfb4063d85a000165471f61,No Fire Detected,no-fire,none,0.76
IMG-108,no-fire_preprocessed-54-_jpg.rf.15590f8caa71b0790b417ba8d63596a6,No Fire Detected,no-fire,none,0.78
IMG-109,no-fire_preprocessed-56-_jpg.rf.7f4bfee15f9a84efa28e8d9ef8df74d5,No Fire Detected,no-fire,none,0.78
IMG-110,no-fire_preprocessed-58-_jpg.rf.745923b10c59251887d7f3b38ccecb98,No Fire Detected,no-fire,none,0.74
IMG-111,no-fire_preprocessed-77-_jpg.rf.995502cbd558a0b95923feb02a68c0ac,No Fire Detected,no-fire,none,0.53
IMG-112,no-fire_preprocessed-89-_jpg.rf.63bf8182fbb672dac356ed0015b7c20c,No Fire Detected,no-fire,none,0.49
IMG-113,smoke-108-_preprocessed_jpg.rf.985e53171a7ae6e5494850ed4c5e1e22,Fire,smoke,g-20 EHq 15:56:47,0.78
IMG-114,smoke-11-_preprocessed_jpg.rf.4fe4c0afe9528f4aef09202fd48ae134,Unknown,none,none,0.0
IMG-115,smoke-117-_preprocessed_jpg.rf.ff2575bf4cac6ac2e0bfb4919c73634b,Fire,smoke,B28 EEA 15:56:49 TETTVTTTITTE,0.76
IMG-116,smoke-121-_preprocessed_jpg.rf.47375ed9324c17e4c66f706b4a9ade73,Fire,smoke,B70 FEA 15:57:00,0.87
IMG-117,smoke-13-_preprocessed_jpg.rf.6574c879b3c3610ea9ddb48b9f368f69,Unknown,none,none,0.0
IMG-118,smoke-130-_preprocessed_jpg.rf.c99a3baf8688f73e2857b964dd1404e2,Fire,smoke,B20 FAA 15:57:02 TTT,0.84
IMG-119,smoke-14-_preprocessed_jpg.rf.8532a1bbd27cf18df13407026c1eb24c,Unknown,none,none,0.0
IMG-120,smoke-151-_preprocessed_jpg.rf.75528c9a18fa17dac0d7b340f8e8daf4,Unknown,none,none,0.0
IMG-121,smoke-156-_preprocessed_jpg.rf.6b6b32447419d49f7faa63b75b3e4af4,Fire,smoke,none,0.54
IMG-122,smoke-163-_preprocessed_jpg.rf.dd55305e65a7a964b5667e45709b2e99,Fire,smoke,none,0.52
IMG-123,smoke-166-_preprocessed_jpg.rf.408b8e3de659b2da71f39d4f9526727a,Fire,smoke,none,0.51
IMG-124,smoke-180-_preprocessed_jpg.rf.1543b5b35f75532e435b993f9230a789,Unknown,none,none,0.0
IMG-125,smoke-201-_preprocessed_jpg.rf.7a11dbb33ef70973850fa315b7b5f348,Unknown,none,none,0.0
IMG-126,smoke-247-_preprocessed_jpg.rf.4c6093ec26678ad55dd9314a95afb892,Unknown,none,none,0.0
IMG-127,smoke-255-_preprocessed_jpg.rf.b245d8f255a14a5f5f231848ee8c80ab,Fire,smoke,none,0.68
IMG-128,smoke-281-_preprocessed_jpg.rf.1278b49c63b9adf012450a3b57fd0aa2,Fire,smoke,none,0.59
IMG-129,smoke-297-_preprocessed_jpg.rf.74ab24de7a4519f81968171347b89633,Fire,fire,none,0.66
IMG-130,smoke-308-_preprocessed_jpg.rf.f1282f8315b6a9ceb99d87e52c2665b9,Fire,smoke,none,0.7
IMG-131,smoke-313-_preprocessed_jpg.rf.2763d40994e0c93856d2765d57ab2c91,Fire,smoke,none,0.61
IMG-132,smoke-316-_preprocessed_jpg.rf.20d579ee9b8e6e5385e9336367894733,Unknown,none,none,0.0
IMG-133,smoke-318-_preprocessed_jpg.rf.7c6f87d408e08d5142391cd9b0655f9b,Unknown,none,none,0.0
IMG-134,smoke-321-_preprocessed_jpg.rf.5f9767bec128d0f353ceff0673ea62be,Fire,smoke,none,0.45
IMG-135,smoke-326-_preprocessed_jpg.rf.24feca203b7cabe18a90ebfaa8bb9928,Fire,smoke,none,0.46
IMG-136,smoke-337-_preprocessed_jpg.rf.44c83fcdbe03a6e94a151ead31acb45e,Fire,smoke,none,0.66
IMG-137,smoke-4-_preprocessed_jpg.rf.da4dca00691bb756f790cc9d7459e306,Fire,smoke,none,0.84
IMG-138,smoke-44-_preprocessed_jpg.rf.93b92c522dd51522efeb0fe6a7101e6e,Fire,smoke,none,0.91
IMG-139,smoke-48-_preprocessed_jpg.rf.0e56e57e22389b31999ac64ae139f33e,Fire,smoke,none,0.86
IMG-140,smoke-52-_preprocessed_jpg.rf.42b13ff74690df963b81d5c65bff118d,Fire,smoke,none,0.9
IMG-141,smoke-55-_preprocessed_jpg.rf.42d7cbf5609f0cb41c9d926bdc274fce,Fire,smoke,none,0.41
IMG-142,smoke-57-_preprocessed_jpg.rf.c747d7d3241af34ce24ca0996a106534,Fire,smoke,ef SAH O7e52:55,0.81
IMG-143,smoke-67-_preprocessed_jpg.rf.329e5b96d18ac3342262318c3d2c0094,Fire,smoke,none,0.67
IMG-144,smoke-8-_preprocessed_jpg.rf.7cb83312372dc620e31344e12334eab7,Fire,fire,none,0.78
IMG-145,smoke-82-_preprocessed_jpg.rf.d942abb23a2d1e17e3ed7d09147ed587,Fire,smoke,none,0.77
IMG-146,smoke-84-_preprocessed_jpg.rf.516af4965b9cddd0f5823d7db94346f5,Fire,smoke,none,0.44
IMG-147,smoke_-13-_jpg.rf.b87322cb89a4b7e666e55afda424b5ec,Fire,smoke,BAH 3B isi,0.86
IMG-148,smoke_-16-_jpg.rf.1b67695a16de65d45ead18e67dd5208b,Fire,smoke,Sp Mei,0.73
IMG-149,smoke_-6-_jpg.rf.147b9aa48e3790ffdfee52b385afc30f,Fire,smoke,2017-83-28,0.82
IMG-150,smoke_-8-_jpg.rf.2ec7bbb04f03c27a1881eee1aef10549,Fire,smoke,2017-83-28,0.74
IMG-151,smoke_preprocessed-11-_jpg.rf.4cf687299fb2acfad6e833f071870070,Fire,smoke,2017-03-20 EFR 16:48:43,0.83
IMG-152,smoke_preprocessed-23-_jpg.rf.4551768b36dd9c166cc50d5976c73ea5,Fire,smoke,hice tr tise,0.75
IMG-153,smoke_preprocessed-26-_jpg.rf.db207e0d9e969ca6b29466e3bccf0a7b,Fire,smoke,none,0.75
IMG-154,smoke_preprocessed-7-_jpg.rf.1bd614d545edb0243441b8c3f902a4e7,Fire,smoke,2017-03-20 EFA 16:48:40,0.61
